id,en,sh,audio
22,"How do you think technologies in Tachelhit could help the Chleuh people in their lives?","Manik a s ar ak ttbayan rad tɛawn ttiknulujya n tclḥit iclḥiyn ɣ tudrt nnsn ?","question-22.wav"
23,"What is something you’ve learned recently that made you think deeply?","Mad tga taɣawsa lli tɛllmt mu'xaran lli k yujjan ad tswingmt","question-23.wav"
24,"How do you think young people can help improve their region?","Manik a s ar ak ittbayan ẓḍaṛn ccabab ad sis ɛawenn bac ad ṭuwwṛn ljiha nnsn ?","question-24.wav"
25,"In your opinion, what are the advantages that smartphones have brought to our lives?","Ɣ ṛṛa'i nnk, mad gan tiɣawsiwin fulkinin lli d iwin smatphones s tudrt nnɣ ?","question-25.wav"
26,"What was your favorite subject at school, and why?","Mad yadlli tga lmadda lli kullu dark iɛzzan ɣ lmdrasa, d maxx ?","question-26.wav"
27,"What is your dream job, and why?","Mad tga lxdmt lli s bdda ttwargat, d maxx ?","question-27.wav"
28,"What do you do to stay fit and healthy?","Mad tskart bac ad sti tawit ɣ lforma nnk d ṣṣaḥt nnk ?","question-28.wav"
29,"Can you describe your favorite place in your region and why you love it?","Tẓḍaṛt ad iyi tuṣft lblast lli k bahra ittɛjabn ɣ ljiha nnk d max alliɣ tt tḥmlt ?","question-29.wav"
30,"Can you talk about the most important thing your parents taught you?","Tẓḍaṛt ad iyi tsawlt f tɣawsa lli kullu ihmman lli ak mlan ayt dark ?","question-30.wav"
31,"What are the values you respect the most in your community?","Mad gant lqiyyam lli bahra ttḥtaramt ɣ ayt tmazirt nnk ?","question-31.wav"
32,"What is the one thing you would like the whole world to know about the Chleuh people?","Mad tga lḥajt lli trit ad issn lɛalam kullu t f iclḥiyn ?","question-32.wav"
33,"Can you describe how your village or city has changed in recent years?","Tẓḍaṛt ad tuṣft manik s tbadl tamazirt nnk nɣ d lmdint nnk ɣ isggʷasn ad ggʷranin ?","question-33.wav"
34,"If you won a lot of money, what would you do?","Iɣ trbḥt agudi n lflus, mad rad tskrt ?","question-34.wav"
35,"What do you like to do when you are alone?","Mad ttirit ad tskart iɣ tgit waḥdu k ?","question-35.wav"
36,"What is your favorite dish, and how do you prepare it?","Man tirmt ad dark iɛzzan d manmk a s ar tt tɛdalt ?","question-36.wav"
37,"If you could travel anywhere, where would you go and why?","Iɣ tufit ad tsafart, mani s trit ad tddut d maxx ?","question-37.wav"
38,"What always makes you laugh?","Mad k bdda issḍṣan ?","question-38.wav"
39,"If you could change just one thing in the world, what would it be?","Iɣ tẓḍaṛt ad tsbadlt kra ɣ ddunit ad, mad rad tg ?","question-39.wav"
40,"If you had to give advice to a 15-year-old, what would you tell them?","Iɣ ixssa ad tfkt kra n nnaṣiḥa i kra n wazzan n 15 n usggʷas, mad rad as tinit ?","question-40.wav"
41,"Can you tell me about a dream you had that you found strange?","Is tẓḍaṛt ad iyi tɛawdt kra n twargit lli tskrt tg ak d lɛjb ?","question-41.wav"
42,"What would you do if you could go back in time for one day?","Mad rad tskrt iɣ tẓḍaṛt ad tssurrit luqt kra n wass ?","question-42.wav"
43,"What is the most beautiful lesson life has taught you so far?","Mad iga ddaṛṣ lli kullu ifulkin ad ak tmla tudrt ar ɣid ?","question-43.wav"
44,"If Tachelhit disappeared tomorrow, how would you feel?","Iɣ laḥḥ taclḥit askka, mad s rad tḥussut ?","question-44.wav"
45,"Which song always makes you feel sad, and why?","Man lmusiqa ad k bdda isqllaqn d max ?","question-45.wav"
46,"How do you see the future of your region in twenty years?","Mannik a s ar ak ittbayan lmustaqbal n ljiha nnk ɣid s yat 20 usggʷas ?","question-46.wav"
47,"If you could change one habit among the Chleuh people, which one would you choose?","Iɣ tufit ad tsbadlt kra n lɛada ɣ iclḥiyn, mad rad tg ?","question-47.wav"
48,"If you had the chance to teach something to everyone, what would you choose?","Iɣ tufit bac ad tsɛlmt kra n tɣawsa i lɛalam kullu t, mad rad tg ?","question-48.wav"
49,"What do you think about the fact that many young people no longer speak Tachelhit well?","Mad ak ibayn ɣ kigan n ccabab lli ur sul ssnn ad sawaln taclḥit mzyan ?","question-49.wav"
50,"How do you imagine life without the Internet?","Manik a s ar tzrrat tudrt bla lantirnit ?","question-50.wav"
51,"What do you think of people who forget their traditions?","Mad ak ittbayann ɣ mddn lli itettun lɛadat nnsn ?","question-51.wav"
52,"If you could speak to the government, what would you say to help your region?","Iɣ tufit ad tsawlt s lḥukuma, mad rad asn tinit bac ad tɛawnt ljiha nnk ?","question-52.wav"
53,"If you had to choose between living by the sea or in the mountains, which would you choose and why?","Iɣ d yiwi rbbi rad tstit gr ad tɛict ɣ tama n lbḥṛ nɣ d ɣ udrar, mad rad tstit d maxx ?","question-53.wav"
54,"What do you think of movies or series in Tachelhit?","Mad ak ittbayann ɣ laflam d lmusalsalat n tclḥit ?","question-54.wav"
55,"If you could learn something from the elders, what would you want to learn?","Iɣ tẓḍaṛt ad tɛllmt kra zɣ iqqdimn, mad rad tirit ad tɛllmt ?","question-55.wav"
56,"Do you think Tachelhit should be taught in schools, and why?","Is ak ibayn is ixṣṣa ad sɣrn tclḥit ɣ lmdrasa, d maxx ?","question-56.wav"
57,"If you could meet a famous person, who would you choose?","Iɣ rad tmiqqirt kra n yan ittussann, matta wad a rad tstit ?","question-57.wav"
58,"What do you think of customs that people keep without really understanding them?","Mad ak ittbayann ɣ lɛadat lli nttajja bla tnt nit nfhm ?","question-58.wav"
59,"What do you think about those who go live abroad?","Mad ak ittbayann ɣ willi ifttun ad ɛicn ɣ lxarij ?","question-59.wav"
60,"How do you choose your friends?","Manik ad tskart bac ad tstit imddukal nnk ?","question-60.wav"
